nama,max_tamu,kasur,harga,rating,lokasi,tersedia
Apartemen Tamansari Semanggi,2,"[{'type': 'King (180x200)', 'qty': '1'}]",5290500,5.0,"{'latitude': -6.22541633773109, 'langtitude': 106.81921397916793}",20220219
Apartemen Tamansari Semanggi,2,"[{'type': 'King (180x200)', 'qty': '1'}]",7247402,4.8,"{'latitude': -6.225421670514887, 'langtitude': 106.8192086147499}",20220219
Apartemen Ciputra World 2,2,"[{'type': 'Queen (160x200)', 'qty': '1'}]",8297829,5.0,"{'latitude': -6.222038, 'langtitude': 106.819686}",20220219
Apartemen Tamansari Semanggi,4,"[{'type': 'Queen (160x200)', 'qty': '1'}, {'type': 'Double (140x200)', 'qty': '1'}, {'type': 'Single (Underbed)', 'qty': '1'}]",11058902,4.9,"{'latitude': -6.226637, 'langtitude': 106.819315}",20220219
Apartemen Setiabudi Skygarden,2,"[{'type': 'Queen (160x200)', 'qty': '1'}]",14999999,5.0,"{'latitude': -6.215627, 'langtitude': 106.82896}",20220219
Apartemen Tamansari Semanggi,4,"[{'type': 'Queen (160x200)', 'qty': '2'}]",9999999,4.8,"{'latitude': -6.227052, 'langtitude': 106.819377}",20220226
Apartemen Setiabudi Skygarden,3,"[{'type': 'Queen (160x200)', 'qty': '1'}, {'type': 'Super Single (120x200)', 'qty': '1'}]",14849998,5.0,"{'latitude': -6.215625, 'langtitude': 106.82896}",20220219
Apartemen Tamansari Semanggi,2,"[{'type': 'Queen (160x200)', 'qty': '1'}]",7000000,4.9,"{'latitude': -6.22639, 'langtitude': 106.819211}",20220225
Apartemen Tamansari Semanggi,2,"[{'type': 'Queen (160x200)', 'qty': '1'}]",5908907,4.8,"{'latitude': -6.226474, 'langtitude': 106.819113}",20220219
Apartemen Ciputra World 2,3,"[{'type': 'Queen (160x200)', 'qty': '1'}, {'type': 'Super Single (120x200)', 'qty': '1'}]",16000000,4.7,"{'latitude': -6.222643, 'langtitude': 106.819273}",20220219
Apartemen Tamansari Semanggi,2,"[{'type': 'King (180x200)', 'qty': '1'}]",7254007,5.0,"{'latitude': -6.226070127947559, 'langtitude': 106.81900352239609}",20220227
Apartemen Tamansari Semanggi,2,"[{'type': 'Queen (160x200)', 'qty': '1'}]",8449999,4.7,"{'latitude': -6.226306, 'langtitude': 106.818997}",20220226
Apartemen Ciputra World 2,2,"[{'type': 'King (180x200)', 'qty': '1'}]",8155062,0.0,"{'latitude': -6.222026, 'langtitude': 106.819399}",20220219
Apartemen Ciputra World 2,2,"[{'type': 'Queen (160x200)', 'qty': '1'}]",8124999,5.0,"{'latitude': -6.222025200874266, 'langtitude': 106.81939780712128}",20220219
Apartemen Ciputra World 2,2,"[{'type': 'Queen (160x200)', 'qty': '1'}]",9217096,5.0,"{'latitude': -6.222025200874266, 'langtitude': 106.81939780712128}",20220219
Apartemen Ciputra World 2,2,"[{'type': 'Queen (160x200)', 'qty': '1'}]",9217096,5.0,"{'latitude': -6.222025200874266, 'langtitude': 106.81939780712128}",20220225
Apartemen Ciputra World 2,2,"[{'type': 'Queen (160x200)', 'qty': '1'}]",10749999,5.0,"{'latitude': -6.222025200874266, 'langtitude': 106.81939780712128}",20220227
Apartemen Ciputra World 2,2,"[{'type': 'Queen (160x200)', 'qty': '1'}]",11829769,4.6,"{'latitude': -6.222025200874266, 'langtitude': 106.81939780712128}",20220219
Apartemen Puri Casablanca,2,"[{'type': 'King (180x200)', 'qty': '1'}]",9859999,5.0,"{'latitude': -6.223001, 'langtitude': 106.838258}",20220219
Apartemen Setiabudi,4,"[{'type': 'King (180x200)', 'qty': '1'}, {'type': 'Single (100x200)', 'qty': '2'}]",18150000,4.9,"{'latitude': -6.214815, 'langtitude': 106.829398}",20220219
Apartemen Ciputra World 2,2,"[{'type': 'Queen (160x200)', 'qty': '1'}]",9500000,4.9,"{'latitude': -6.220978, 'langtitude': 106.819044}",20220220
Apartemen Taman Rasuna Kuningan,3,"[{'type': 'King (180x200)', 'qty': '1'}, {'type': 'Single (100x200)', 'qty': '1'}]",6948340,5.0,"{'latitude': -6.217864, 'langtitude': 106.836832}",20220219
Apartemen Tamansari Sudirman,2,"[{'type': 'Queen (160x200)', 'qty': '1'}]",5013152,4.9,"{'latitude': -6.216334, 'langtitude': 106.821407}",20220219
Apartemen Tamansari Sudirman,2,"[{'type': 'Queen (160x200)', 'qty': '1'}]",4927930,4.4,"{'latitude': -6.21633, 'langtitude': 106.821406}",20220225
Apartemen Taman Rasuna Kuningan,4,"[{'type': 'Queen (160x200)', 'qty': '1'}, {'type': 'Queen (160x200)', 'qty': '1'}]",7482140,5.0,"{'latitude': -6.216407, 'langtitude': 106.837365}",20220219
